id,title,price_rub,category,rating,reviews_count,market_url,cover_photo
5903547,МК пуловер Зелёная горчица,1200.0,"Джемперы, свитеры и кардиганы",0.0,0,https://vk.ru/market/product/mk-pulover-zelyonaya-gorchitsa-211626529-5903547,https://sun9-40.vkuserphoto.ru/s/v1/ig2/h1D95gqlg4mtQBAq_WjUkIrjfrVJVBYNl3OLxflHm-fOr6ULjRxD8rT5CwGBObluRfk4oJH3YP01cUEO4pxtDYNz.jpg?background=ffffff&crop=164%2C0%2C1630%2C1957&quality=90&size=533x640
5906931,МК Пуловер Летучая мышь,1200.0,"Джемперы, свитеры и кардиганы",5.0,1,https://vk.ru/market/product/mk-pulover-letuchaya-mysh-211626529-5906931,https://sun9-39.vkuserphoto.ru/s/v1/ig2/0JT6pE38UNeIWgVeJ5_uBbybAYem4jkD231qmEQpHqybaEilVLEpu7t257X2mqi-rPHgpFroApftXCnfktpscFH2.jpg?background=ffffff&crop=215%2C0%2C2132%2C2560&quality=90&size=533x640
5907000,МК пуловер Ингрид,1200.0,"Джемперы, свитеры и кардиганы",0.0,0,https://vk.ru/market/product/mk-pulover-ingrid-211626529-5907000,https://sun9-57.vkuserphoto.ru/s/v1/ig2/IiVWiw2VsYBc8Ok0JWRI6P5BIklI44_9GK9IIpQVzCVFaargogJIPbeSvpVpYtX32bRUQWwx3KJDcrtfe-Sqiw0h.jpg?background=ffffff&crop=29%2C0%2C1799%2C2160&quality=90&size=533x640
5907043,МК Жилет с рукавами,800.0,Жилеты,5.0,3,https://vk.ru/market/product/mk-zhilet-s-rukavami-211626529-5907043,https://sun9-71.vkuserphoto.ru/s/v1/ig2/bXwFoZftxuKpUefGfZrsAs3EHf_ktGGXDE-j1NDz1iH1KPw2AgbKnQ_t1_754kMnNdypiDZuHy4Giqo0l6e0iuXf.jpg?background=ffffff&crop=0%2C16%2C849%2C1019&quality=90&size=533x640
5917465,МК свитер Ангара,1200.0,"Джемперы, свитеры и кардиганы",0.0,0,https://vk.ru/market/product/mk-sviter-angara-211626529-5917465,https://sun9-19.vkuserphoto.ru/s/v1/ig2/t7gfvskJncxdJmP9evHZmP9SuRBZEp6AS4rhwwiFJhHZ4WX8mbH1HXroAFHg7zNqtLY_RBdQpkI1oBVep49dQ428.jpg?background=ffffff&crop=38%2C0%2C1001%2C1202&quality=90&size=533x640
5917571,МК кардиган Намибия,1200.0,"Джемперы, свитеры и кардиганы",5.0,1,https://vk.ru/market/product/mk-kardigan-namibia-211626529-5917571,https://sun9-80.vkuserphoto.ru/s/v1/ig2/UsOuWB793RtFixLI7l3-a8gaVHv5AWL9d8-K3kNzjiMZANwiDKpKvWhUQ1o92X-ZIw4pbWZMIuzqJ1DGKycO4zTm.jpg?background=ffffff&crop=215%2C0%2C2132%2C2560&quality=90&size=533x640
5923903,МК пуловер Эльза,1200.0,"Джемперы, свитеры и кардиганы",5.0,1,https://vk.ru/market/product/mk-pulover-elza-211626529-5923903,https://sun9-74.vkuserphoto.ru/s/v1/ig2/fKyCUwDljYWRFSa9AgwxuB3EhKX1yl3mci-RGb92VM6aPNGLEFggKZtr1eON8nvtdzQLicvIf-kNyQxM9xzoGEJP.jpg?background=ffffff&crop=74%2C0%2C1768%2C2124&quality=90&size=533x640
5931869,МК платье/свитер Норвегия,800.0,Платья и сарафаны,5.0,2,https://vk.ru/market/product/mk-platyesviter-norvegia-211626529-5931869,https://sun9-26.vkuserphoto.ru/s/v1/ig2/GstEF9aGJrn5O8p8RyOUx_o6F_2XUUKe365zmCjbxw_nxGvdmd9Y4jgI8MOqoqIXBI6UYl-KF7vJN5LYYPtndMr8.jpg?background=ffffff&crop=0%2C108%2C1620%2C1946&quality=90&size=533x640
5944682,МК боди Пион,1000.0,Боди и ползунки,5.0,1,https://vk.ru/market/product/mk-bodi-pion-211626529-5944682,https://sun9-77.vkuserphoto.ru/s/v1/ig2/b6Jm7mFPXpbC-oKWlXJ8pPKuDDI_GT0pqIcuWPB7fDl0YoQ1hy-Jrlbx0BMvWdAC-SN_TrCoWH5L12jxRLR-3PCH.jpg?background=ffffff&crop=151%2C0%2C1506%2C1808&quality=90&size=533x640
5945280,МК кардиган Бланманже,1200.0,"Джемперы, свитеры и кардиганы",5.0,2,https://vk.ru/market/product/mk-kardigan-blanmanzhe-211626529-5945280,https://sun9-58.vkuserphoto.ru/s/v1/ig2/r-SxDQPTmZXABvBLgLXkolZbjgDGgvea9IeCUN4SBAFhbz61yxr2Pm3yVHeziMCGKvus22w7hYRIAxCHR_XhhGvu.jpg?background=ffffff&crop=215%2C0%2C2132%2C2560&quality=90&size=533x640
